"","stock[, 1]","Sec_10R","Sec_15R","Sec_20R","Sec_25R","Sec_30R","Sec_35R","Sec_40R","Sec_45R","Sec_50R","Sec_55R","Sec_60R"
"155",20140813,0.006340057,-0.00457747,0.007922217,0.00618294,0.001507575,0.00662466,0.00550764,0.011599925,0.015188679,-0.001416214,0.012496382
"156",20140814,-0.005239156,-0.003478603,0.005128908,0.002937195,0.005892194,0.009986377,0.010077193,0.002042816,0.019303423,0.009933742,0.00054694
"157",20140815,0.005493656,0.011962719,-0.002093716,-0.003243969,0.001436681,-0.001023838,-0.006380849,0.001083833,0.013607175,0.002063776,-0.000300085
"158",20140818,0.029388433,0.008733567,0.014095941,0.004872263,0.007120413,0.008913241,0.008901087,0.008911853,0.021481734,-0.00126155,0.009160011
"159",20140819,0.001860037,-0.028341724,0.001680027,0.00763477,0.002388615,0.005141501,-0.000707622,0.008163444,-0.005907161,0.01054653,0.001097673
"160",20140820,-0.007905117,0.009389763,0.009016551,0.001010375,-0.000773785,0.002653408,-0.004746735,0.001116529,-0.000607583,0.000835225,0.004026781
"161",20140821,-0.003881036,-0.004511855,0.000490117,-0.000253744,0.004584018,0.003114262,0.004614855,0.002193196,-0.006289241,0.003148681,0.001684454
"162",20140822,0.000798769,-0.012463003,-0.004183051,-0.005395837,-0.003951137,-0.000657779,-0.000647807,0.002160462,0.003440866,-0.002248793,-0.007607032
"163",20140825,0.019923225,-0.000592629,0.003488324,0.00533178,0.007311261,0.008209501,0.010456954,-0.000376798,0.002470005,0.006062101,-0.002396961
"164",20140826,0.004295754,-0.00012798,-0.002592728,0.002384926,-0.000189825,0.004318663,0.000302987,0.001045771,-0.004416941,-0.011109819,-0.000862292
"165",20140827,-0.003963631,0.001174654,0.000789192,-4.0675e-05,8.92447e-05,0.002547336,0.00110979,0.002593794,0.010279572,0.005931809,0.001637808
"166",20140828,-0.010959824,-0.019184352,-0.002976703,-0.003725846,-0.000911349,0.000503463,-0.00600313,-0.002154762,0.000562123,0.006540077,-0.001146715
"167",20140829,0.014211398,0.002886716,-0.000874231,-0.000329744,0.000636245,0.003014466,0.001976576,0.003641721,0.005432404,0.007933481,0.004444809
"168",20140902,-0.007479136,-0.003327258,0.002444815,0.003632979,-0.000529769,0.000365804,-0.00170964,0.001644562,0.003890147,-0.011703764,-0.000679082
"169",20140903,0.025258909,-0.007275661,0.001413094,-0.004760993,0.003206078,0.005691201,0.010933613,-0.006314177,0.016461604,0.006287711,0.002970211
"170",20140904,-0.009089016,-0.005290235,0.000123958,0.004443632,0.00347672,-0.006114977,0.002612546,-0.002542964,0.001981643,0.002644817,-0.001883353
"171",20140905,0.004127396,-0.001917711,0.002593743,0.001825035,0.002687492,0.003090522,0.000503838,0.005341568,0.00741768,0.011295684,0.011648847
"172",20140908,-0.007965888,-0.011615112,-0.001039052,-0.006534473,-0.008645504,-0.003704982,-0.005301955,-0.001219212,-0.000196102,-0.005252112,-0.001811696
"173",20140909,-0.006804545,-0.000874301,-0.001887162,-0.012811652,-0.000788152,-0.001005792,-0.007226629,-0.002695785,-0.004886268,-0.013755806,-0.005515239
