"","Date","Sec_10","Sec_15","Sec_20","Sec_25","Sec_30","Sec_35","Sec_40","Sec_45","Sec_50","Sec_55","Sec_60"
"141",20160722,10910170577560,410120343513.3,1465814087850,1937987460830,1249264691040,2349218664930,2100933905950,3334657562230,2890523557890,253539012470,385346158290.7
"142",20160725,10744239498200,408023813260,1456689120090,1933085717400,1248203927840,2351229320900,2087015295220,3332795663800,2890160527720,253666815860,384235320040
"143",20160726,10778204211410,417863449260,1463650284440,1931828029630,1242660602470,2347555600610,2100204865040,3354111102320,2890508502080,251402233270,382650083450
"144",20160727,10686117686700,422132347919.1,1457691044230,1929549271840,1221130188710,2360315753150,2108034529076,3377603912480,2896598557080,248249709630,378204197810
"145",20160728,10367685618720,420688166640,1456477666910,1937243424140,1233336252430,2361439651470,2098305884770,3376614289090,2897164459020,249048480740,383047470770
"146",20160729,10481182411120,420542571120,1455208360280,1948891530960,1243101223760,2369977473790,2104159400670,3363669142460,2909130910120,251064927490,387316974320.3
"147",20160801,10166810108930,418701190522.5,1454160067420,1955538326360,1239641611480,2378810783430,2084788772550,3395052028080,2922147907990,251239345240,389462454900
"148",20160802,10125942744110,419188250060,1436373603910,1936466624190,1237826438050,2369135345170,2072350693140,3362828608790,2906321465670,249746088990,383094903496.4
"149",20160803,10249571293070,423446683427.5,1440703798680,1935044867580,1229535549650,2344417681120,2116681943360,3374195567830,2899701555780,248799094820,380210193560
"150",20160804,10324820113200,426274846850,1439481945400,1947289282762.6,1231808767910,2344272969930,2123524781150,3394774146140,2896450527970,248253914720,378299648640
"151",20160805,10390747232790,431259479310,1449938527640,1968996565900,1232965366850,2349041186110,2165043693100,3435004695150,2920511434080,245579736230,377550971230
"152",20160808,10376848615240,436136231782.5,1450702787530,1973099928870,1228270102250,2328485797640,2175348506430,3444016447780,2921661141190,245716412540,378053353690.3
"153",20160809,10489764627140,434368330178.3,1452691016130,1975110241380,1230785063670,2331094904270,2179840696537.5,3458453222800,2924295218290,245466734160,380874548082.6
"154",20160810,10386990281240,430748366438.3,1452375659060,1981810607640,1236988790680,2319989378100,2162454061802.9,3444692376010,2909303372050,244914747470,380166883620
"155",20160811,10558554530950,434344024800,1460794178080,2004287584090,1240072916640,2330306806310,2182653815130,3453027063280,2937258669640,245234634460,376414939620
"156",20160812,10656198157830,426686670190,1456776095410,2022472483410,1245133193660,2325323598700,2181137769590.4,3451234289640,2943826692340,245338902000,377627441810
"157",20160815,10811236493940,430501311660,1464032289470,2019806692945,1242837581870,2327418773253,2200102543309.3,3472930055820,2945608650560,241700186230,376688561550
"158",20160816,10822835053490,435398236520,1457151141150,2009558786115,1239465875330,2309219308400,2201811600610,3451260429710,2908156660730,239182915870,372636451790
"159",20160817,10814648518930,437688204050,1461544815800,2015058123485,1245014451140,2321588609560,2208243772660,3442150689400,2914278255500,243150949980,374100474900
"160",20160818,10868262229670,444964347740,1465261106660,2013733138270,1251010545400,2320595816410,2216084446004.4,3448170103990,2930467617790,245484515060,373093407200
"161",20160819,10782138200410,440070308645,1465373810680,2016766536950,1243534108370,2310171396385,2207853440722.8,3439481221890,2912755078020,244215507240,370249844409.9
"162",20160822,10588574801950,436144160210,1464784379790,2019008295805,1239083475610,2308569122780,2203231484266.7,3431530565840,2902588716030,244758348880,371685179500
"163",20160823,10664936703920,445806382890,1463637085220,2020109756240,1240628572630,2312624134640,2212440965080,3445507498450,2898014620980,243680704450,371380007820.3
"164",20160824,10518807881800,439872121270,1460216880960,2012680230860,1239662028540,2286045115520,2217557354929.6,3426745829460,2890115004750,244072218810,370318218360
"165",20160825,10583324600450,441148219970,1458019614710,2012931188745,1236709928590,2274034954390,2223377139924,3435058810310,2889171095050,244314954110,371847208120
"166",20160826,10617898592900,437993520760,1453597418870,2010235040770,1232009757280,2278270229470,2226997684502.8,3436122737150,2872245216190,239435058360,368001305350
"167",20160829,10603463544550,440589980230,1460663328020,2017860558080,1239700347660,2286550282485,2237699250970,3443022587720,2891263617300,241144814460,371682922240
"168",20160830,10566923846640,434737137370,1455347622750,2015927142920,1232500908000,2274063971880,2259935761440,3436681939690,2865165280250,238938195200,370645908280
"169",20160831,10410466908650,422258409320,1449216771870,2015776805600,1230353079760,2271828656570,2269050797380,3433669119120,2852991777320,238946643220,370730649920
"170",20160901,10415081130620,425528174405,1451151530290,2020261895665,1238901800750,2259026165730,2282676116781.3,3448792865270,2861600488720,238979262400,370976237510.5
"171",20160902,10660882824490,431088384995,1457137620680,2032143284870,1247221331150,2276179482240,2307766255621.3,3463326311330,2886762900270,241881233450,373508482390
"172",20160906,10716881992410,436066796535,1456233149690,2050802143760,1252771238070,2280777176950,2306034568850,3477207302470,2894238124240,244517127310,376891443730
"173",20160907,10705866272220,431913144835,1455312161360,2045114797870,1244725432690,2276624594380,2298245135340,3490530693940,2886675502440,244254614460,378676644325
"174",20160908,10834958710940,432936432055,1454709530790,2037310854990,1239413187010,2277542411430,2311335682765,3461756132140,2904343556770,245168556160,374015337970
"175",20160909,10437080938970,424915857775,1415362059300,1988889025610,1207572810370,2230977057150,2293860650559.5,3367684365240,2858548566700,236301592440,360223250950
"176",20160912,10587233839870,424888209000,1433060587480,2014408944765,1232991377650,2268203033890,2295307902153.6,3425746933210,2885064107690,240605458250,364533869800
"177",20160913,10255630190390,411797643130,1411759943950,1989739754175,1214880439570,2234322830450,2246253671616.8,3403396154540,2843328540440,237897228540,355697535940
"178",20160914,10185531054300,415986724000,1408152847640,1989923893435,1214725089810,2241781522710,2244366996260,3425780547460,2858330724620,238398367440,357052623999.7
"179",20160915,10320175909770,419762426470,1417840061050,2007911045235,1227060798730,2259025796875,2274263173486.2,3489997272600,2877232303690,239972608370,358401308930
"180",20160916,10250685664070,415726033840,1408424080760,1996006486475,1223796950840,2255394510195,2244389011708.5,3467941952330,2863132755559.6,241675482620,358093630630
"181",20160919,10203777552330,421562333190,1412852533850,1990914162365,1225296470180,2250168116175,2265415534104.8,3488224037780,2856019694520,244206682880,361663806720
