Date,Communication,Consumer_dis,Consumer_staple,Energy,Materials,Utilities,Real_estate,IT,Industrials,Healthcare,Financials
9/24/07,56.822803,51.126892,51.82119,85.282707,67.863716,55.857071,43.631565,53.270634,61.30637,50.670349,47.545246
9/25/07,57.022331,50.70055,51.82119,84.369385,67.934311,55.890327,42.547565,53.768417,61.621883,50.703461,47.435307
9/26/07,57.462654,51.101307,52.300323,84.345955,68.545975,56.236202,43.167873,53.928394,62.010216,51.042736,47.733688
9/27/07,57.675934,51.178059,52.524925,85.352959,69.424263,55.890327,43.4991,54.035076,62.374256,51.142052,48.102745
9/28/07,57.153049,51.033092,52.487484,84.822144,68.961609,55.211899,43.035381,53.86618,62.30146,50.835857,47.804356
10/1/07,57.703442,51.834629,52.479996,86.008682,70.035912,56.029995,44.08326,54.66618,63.345055,51.373768,48.832993
10/2/07,57.799778,52.115997,52.5923,85.321732,69.800667,55.950211,44.884212,54.790623,63.256054,51.324112,49.319832
10/3/07,57.173706,52.124531,52.3153,84.619179,68.953758,55.976788,44.667416,54.301739,62.673588,51.398586,49.249187
10/4/07,57.675934,51.936943,52.4725,85.064125,69.071381,56.402454,45.125118,54.221741,62.892021,51.597202,49.406216
10/5/07,57.896099,52.866367,52.757011,85.368576,70.302551,56.768303,46.185036,54.941734,63.660576,52.110275,50.018692
10/8/07,57.765369,52.712879,52.569836,84.580147,69.981033,56.62196,45.31181,55.315071,63.539223,51.870289,49.649635
10/9/07,57.875458,52.789631,52.652203,85.977463,71.227898,57.320332,45.817684,55.635059,64.162155,52.093719,50.010834
10/10/07,57.558971,52.849316,52.846828,87.195229,70.94558,56.681816,45.498474,55.839504,63.603939,52.168194,49.633915
10/11/07,57.26313,52.508244,52.764492,87.203033,70.553482,57.233906,45.317829,55.057293,63.18325,51.828915,49.469028
10/12/07,57.579624,52.602032,53.033993,87.569931,71.251419,57.413467,44.890251,55.759514,63.272251,52.027515,49.429768
10/15/07,56.71273,51.945473,52.674648,88.319321,70.867172,56.741673,44.047115,55.359509,62.803036,51.580639,48.589596
10/16/07,56.582001,51.655563,52.667171,88.58474,69.784988,56.62196,43.511127,55.15506,62.544125,51.175148,47.710129
